# APC 10x5E blade geometry - REAL MEASURED/MOULD GEOMETRY, transcribed verbatim.
#
# Source: APC Propellers, file PE0-FILES_WEB/10x5E-PERF.PE0 from
#   https://www.apcprop.com/wp-content/uploads/2026/02/PE0-FILES_WEB-202602.zipx
#   (linked from the UIUC propeller database as the geometry source for APC props).
#   File header: "10x5E (10x5E.dat)", v2025-1001, simulation date 02/24/2026.
#   Downloaded and transcribed 2026-09-10. 51 stations, verbatim, no interpolation.
#
# NOTE the archive is a WinZip .zipx using LZMA (method 14). System `unzip` refuses it
# ("need PK compat v6.3"); Python's zipfile reads it fine. See fetch-geometry.sh.
#
# WHY THIS ONE: the aerial fixed-pitch brief specifies D = 254 mm (10 in), P = 127 mm (5 in),
# Z = 2. This is exactly that propeller, and it is the manufacturer's own mould geometry
# rather than a series table or a guess.
#
# APC's own definitions, from the file:
#   PITCH (QUOTED)   angular measure defined with a flat bottom surface (= input pitch)
#   PITCH (LE-TE)    defined by leading- and trailing-edge mould parting-line datums
#   PITCH (PRATHER)  what a pitch gauge resting on the lower surface would read
#   SWEEP(Y)/RAKE(Z) defined with the mould LE parting line
#   TWIST            defined with the LE and TE mould parting-line datums
#   CHORD            length between the LE and TE mould parting lines
#   ZHIGH            highest elevation on the top surface
#   CGY / CGZ        mass offset, fore-aft and elevation
#
# Lengths in INCHES as published. r_R and c_D added here for convenience:
#   r_R = station / 5.0 in,  c_D = chord / 10.0 in.  D = 10.0 in = 254.0 mm.
#
# CAUTION - thickness ratio at the root is 0.40, i.e. 40%, falling to 0.0998 at the tip.
# The brief assumes "t/c 14% at the root tapering to 9% at the tip". The real blade is far
# thicker inboard because the aerofoil blends into the hub boss there. Trust this file over
# the brief's figure, and do not loft the inboard stations as if they were aerofoils.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  as labelled per column. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
r_R,station_in,c_D,chord_in,pitch_quoted_in,pitch_le_te_in,pitch_prather_in,sweep_y_in,rake_z_in,thickness_ratio,twist_deg,max_thick_in,cross_section_in2,zhigh_in,cgy_in,cgz_in
0.311200,1.5560,0.100650,1.0065,4.9934,4.9934,4.7367,0.4418,0.1566,0.1315,27.0549,0.1323,0.0861,0.1746,0.0458,0.0017
0.336760,1.6838,0.102410,1.0241,5.0000,5.0000,4.7878,0.4460,0.1418,0.1235,25.2958,0.1265,0.0844,0.1620,0.0370,-0.0042
0.362320,1.8116,0.103520,1.0352,5.0000,5.0000,4.8180,0.4481,0.1257,0.1177,23.7148,0.1218,0.0831,0.1482,0.0290,-0.0114
0.387860,1.9393,0.104020,1.0402,5.0000,5.0000,4.8354,0.4482,0.1085,0.1135,22.3103,0.1181,0.0820,0.1333,0.0219,-0.0202
0.413420,2.0671,0.103940,1.0394,5.0000,5.0000,4.8417,0.4464,0.0903,0.1108,21.0556,0.1151,0.0811,0.1174,0.0155,-0.0304
0.438960,2.1948,0.103320,1.0332,5.0000,5.0000,4.8393,0.4428,0.0714,0.1090,19.9290,0.1126,0.0802,0.1006,0.0098,-0.0417
0.464520,2.3226,0.102200,1.0220,5.0000,5.0000,4.8317,0.4375,0.0519,0.1078,18.9127,0.1101,0.0789,0.0831,0.0049,-0.0538
0.490060,2.4503,0.100630,1.0063,5.0000,5.0000,4.8189,0.4307,0.0322,0.1067,17.9917,0.1074,0.0771,0.0649,0.0006,-0.0666
0.515620,2.5781,0.098630,0.9863,5.0000,5.0000,4.8031,0.4223,0.0123,0.1057,17.1537,0.1043,0.0746,0.0462,-0.0029,-0.0798
0.541180,2.7059,0.096250,0.9625,5.0000,5.0000,4.7865,0.4124,-0.0077,0.1048,16.3882,0.1009,0.0716,0.0271,-0.0058,-0.0933
0.566720,2.8336,0.093530,0.9353,5.0000,5.0000,4.7693,0.4013,-0.0276,0.1040,15.6865,0.0972,0.0681,0.0076,-0.0080,-0.1070
0.592280,2.9614,0.090510,0.9051,5.0000,5.0000,4.7522,0.3889,-0.0473,0.1032,15.0411,0.0934,0.0641,-0.0120,-0.0097,-0.1207
0.617820,3.0891,0.087220,0.8722,5.0000,5.0000,4.7356,0.3754,-0.0668,0.1025,14.4456,0.0894,0.0598,-0.0316,-0.0109,-0.1344
0.643380,3.2169,0.083700,0.8370,5.0000,5.0000,4.7201,0.3608,-0.0860,0.1018,13.8945,0.0852,0.0553,-0.0512,-0.0118,-0.1479
0.668940,3.3447,0.080000,0.8000,5.0000,5.0000,4.7059,0.3453,-0.1047,0.1012,13.3832,0.0810,0.0506,-0.0706,-0.0123,-0.1613
0.694480,3.4724,0.076150,0.7615,5.0000,5.0000,4.6938,0.3289,-0.1229,0.1007,12.9076,0.0767,0.0459,-0.0897,-0.0126,-0.1743
0.720040,3.6002,0.072190,0.7219,5.0000,5.0000,4.6841,0.3118,-0.1405,0.1003,12.4641,0.0724,0.0413,-0.1084,-0.0128,-0.1870
0.745580,3.7279,0.068170,0.6817,5.0000,5.0000,4.6769,0.2940,-0.1575,0.0999,12.0497,0.0681,0.0367,-0.1266,-0.0132,-0.1993
0.771140,3.8557,0.064110,0.6411,5.0000,5.0000,4.6703,0.2756,-0.1737,0.0996,11.6615,0.0639,0.0324,-0.1442,-0.0138,-0.2111
0.796680,3.9834,0.060050,0.6005,5.0000,5.0000,4.6643,0.2567,-0.1891,0.0994,11.2973,0.0597,0.0285,-0.1609,-0.0149,-0.2225
0.822240,4.1112,0.056050,0.5605,5.0000,5.0000,4.6590,0.2374,-0.2035,0.0992,10.9548,0.0556,0.0248,-0.1768,-0.0166,-0.2333
0.847800,4.2390,0.052130,0.5213,5.0000,5.0000,4.6542,0.2179,-0.2169,0.0991,10.6323,0.0517,0.0215,-0.1917,-0.0188,-0.2434
0.873340,4.3667,0.048330,0.4833,5.0000,5.0000,4.6420,0.1981,-0.2292,0.0991,10.3280,0.0479,0.0185,-0.2057,-0.0218,-0.2529
0.898900,4.4945,0.044700,0.4470,5.0000,5.0000,4.6095,0.1782,-0.2403,0.0991,10.0405,0.0443,0.0158,-0.2190,-0.0255,-0.2621
0.924440,4.6222,0.041270,0.4127,5.0000,5.0000,4.5520,0.1583,-0.2502,0.0992,9.7684,0.0410,0.0135,-0.2312,-0.0300,-0.2706
0.948940,4.7447,0.038200,0.3820,5.0000,5.0000,4.4659,0.1393,-0.2582,0.0994,9.5210,0.0380,0.0116,-0.2417,-0.0353,-0.2779
0.955060,4.7753,0.037250,0.3725,5.0000,5.0000,4.3830,0.1324,-0.2604,0.0995,9.4611,0.0370,0.0111,-0.2446,-0.0380,-0.2798
0.960100,4.8005,0.036180,0.3618,5.0000,5.0000,4.3055,0.1237,-0.2627,0.0995,9.4123,0.0360,0.0104,-0.2476,-0.0418,-0.2817
0.965160,4.8258,0.034810,0.3481,5.0000,5.0000,4.2323,0.1121,-0.2653,0.0995,9.3639,0.0347,0.0097,-0.2510,-0.0473,-0.2839
0.970200,4.8510,0.033110,0.3311,5.0000,5.0000,4.1651,0.0969,-0.2685,0.0996,9.3160,0.0330,0.0088,-0.2551,-0.0548,-0.2864
0.975260,4.8763,0.030990,0.3099,5.0000,5.0000,4.1039,0.0775,-0.2722,0.0997,9.2686,0.0309,0.0077,-0.2600,-0.0646,-0.2893
0.980300,4.9015,0.028310,0.2831,5.0000,5.0000,4.0556,0.0526,-0.2768,0.0997,9.2217,0.0282,0.0064,-0.2659,-0.0775,-0.2927
0.985360,4.9268,0.024780,0.2478,5.0000,5.0000,4.0378,0.0191,-0.2827,0.0998,9.1752,0.0247,0.0049,-0.2733,-0.0951,-0.2968
0.990400,4.9520,0.019510,0.1951,5.0000,5.0000,4.1194,-0.0317,-0.2912,0.0998,9.1292,0.0195,0.0031,-0.2840,-0.1222,-0.3026
0.995460,4.9773,0.010310,0.1031,5.0000,5.0000,4.8007,-0.1214,-0.3058,0.0999,9.0837,0.0103,0.0009,-0.3021,-0.1705,-0.3122
1.000000,5.0000,0.001630,0.0163,5.0000,5.0025,5.0025,-0.2063,-0.3195,0.1000,9.0475,0.0016,0.0000,-0.3195,0.0000,0.0000
